Vigencia,Zona A,Zona B,Zona C,Zona Fronteriza
01/01/2020,123.22,Eliminada,Eliminada,185.56
01/01/2019,102.68,Eliminada,Eliminada,176.72
01/01/2018,88.36,Eliminada,Eliminada,
01/01/2017,80.04,Eliminada,Eliminada,
01/01/2016,73.04,Eliminada,Eliminada,
01/10/2015,70.1,Eliminada,Eliminada,
01/04/2015,70.1,68.28,Eliminada,
01/01/2015,70.1,66.45,Eliminada,
01/01/2014,67.29,63.77,Eliminada,
01/01/2013,64.76,61.38,Eliminada,
27/11/2012,62.33,59.08,Eliminada,
01/01/2012,62.33,60.57,59.08,
01/01/2011,59.82,58.13,56.7,
01/01/2010,57.46,55.84,54.47,
01/01/2009,54.8,53.26,51.95,
01/01/2008,52.59,50.96,49.5,
01/01/2007,50.57,49,47.6,
01/01/2006,48.67,47.16,45.81,
01/01/2005,46.8,45.35,44.05,
01/01/2004,45.24,43.73,42.11,
01/01/2003,43.65,41.85,40.3,
01/01/2002,42.15,40.1,38.3,
01/01/2001,40.35,37.95,35.85,
01/01/2000,37.9,35.1,32.7,
03/12/1998,34.45,31.9,29.7,
01/01/1998,30.2,28,26.05,
03/12/1996,26.45,24.5,22.5,
01/04/1996,22.6,20.95,19.05,
04/12/1995,20.15,18.7,17,
01/04/1995,18.3,17,15.44,
01/01/1995,16.34,15.18,13.79,
01/01/1994,15.27,14.19,12.89,
01/01/1993,14.27,13.26,12.05,
11/11/1991,13330,12320,11115,
16/11/1990,11900,11000,9920,
04/12/1989,10080,9325,8405,
01/07/1989,9160,8475,7640,
01/01/1989,8640,7995,7205,
01/03/1988,8000,7405,6670,
01/01/1988,7765,7190,6475,
16/12/1987,6470,5990,5395,
01/10/1987,5625,5210,4690,
01/07/1987,4500,4165,3750,
01/04/1987,3660,3385,3045,
01/01/1987,3050,2820,2535,
22/10/1986,2480,2290,2060,
01/06/1986,2065,1900,1675,
01/01/1986,1650,1520,1340,
04/06/1985,1250,1150,1015,
01/01/1985,1060,975,860,
11/06/1984,816,750,660,
01/01/1984,680,625,550,
14/06/1983,523,478,421,
01/01/1983,455,415,365,
01/11/1982,364,358,332,
01/01/1982,280,275,255,
